"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccdc88c",35.1748007658957,-0.111855673359383,0.356375143477347,-0.313870581062264,0.753619334996384,0.890249300416105
"Smek1",822.788454654101,0.216000334680393,0.192342676830781,1.12299744518179,0.261438579501789,0.535934949213056
"D130020L05Rik",157.578231702154,0.749040791617068,0.365523549817305,2.04922717562645,0.0404399058977086,0.172968183397553
"Tc2n",48.1921617409927,-0.42088849270374,0.396202243413419,-1.06230719209877,0.288096250436971,0.565471435666232
"Fbln5",241.56952590688,-1.88675631141886,0.236784488211661,-7.96824287633359,1.60946317325274e-15,3.25678273382001e-13
"Trip11",276.704139700933,-0.191351766095516,0.232576065498031,-0.822749175353713,0.41065064447422,0.674707808464194
"Atxn3",316.742923850014,0.0426625955073265,0.163993387402801,0.260148266847726,0.794749407686538,0.911644575143585
"Cpsf2",546.467428150863,-0.285766520264251,0.155952197081574,-1.8323981682334,0.0668921207748337,0.240319854756698
"Slc24a4",0.150055258816854,-0.552018465015374,4.0804728567969,-0.135282964594623,0.892388153537816,NA
"Rin3",606.640363351097,-0.162842708527345,0.158561537764682,-1.02700005829293,0.304420436633274,0.580497369381632
"Lgmn",6459.73243060861,-0.856466114210664,0.238880999979449,-3.585325389145,0.000336658190370138,0.00491006310489072
"Golga5",509.890789570941,-0.56597503255988,0.158012675693015,-3.58183310343689,0.000341191744868984,0.00495141595811384
"Chga",0.29184708855328,-1.4701164073498,4.03587973886186,-0.364261698185383,0.715662598410146,NA
"Itpk1",597.302215795228,0.153062627875971,0.140551582050901,1.08901390964449,0.276147751832031,0.55210227462879
